Fecha,05AVO-115,02TVS-115,02MTT-115,05CRN-115,03KIM-115,06MEO-230,02THU-115,06VOT-115,01PHC-230,03EAT-115
4/22/2017,1583.845417,1662.645417,961.5175,1599.834167,1616.08875,1541.099583,1856.515,1546.409167,1649.660833,1587.789167
4/23/2017,834.6908333,946.0283333,1234.47125,876.11625,919.1195833,847.3370833,1023.93875,848.675,941.5979167,902.1316667
4/24/2017,1217.250833,1200.8,1500.452083,1245.792083,1191.894167,1169.020833,1346.53875,1161.032083,1214.299583,1185.535833
4/25/2017,1502.99125,1497.779167,1809.570417,1521.999167,1471.686667,1443.012917,1877.640417,1437.375833,1497.134583,1454.295417
4/26/2017,1915.975833,1807.930833,4411.273333,1899.420417,1800.132917,1830.221667,2015.75375,1828.072917,1821.425417,1802.674583
4/27/2017,4412.548333,4377.872083,2435.145833,4523.1075,4311.68875,4340.243333,4890.841667,4337.227917,4386.0325,4310.732917
4/28/2017,2453.677083,2438.377917,1565.215417,2490.366667,2384.643333,2382.82375,2661.500833,2372.335417,2422.291667,2371.631667
4/29/2017,1495.747917,1568.587083,1320.700417,1534.61625,1521.931667,1495.513333,1724.074583,1496.429583,1555.95875,1513.580417
4/30/2017,1088.617917,1293.064583,1132.005,1168.034583,1229.528333,1151.558333,1439.2875,1151.338333,1270.171667,1214.07625
05/01/2017,1045.793333,1173.785,1309.165833,1091.365417,1102.813333,1056.266667,1325.667917,1056.020417,1134.405,1102.955417
05/02/2017,1288.517917,1336.505417,1818.440417,1305.24125,1285.739583,1253.24875,1532.732917,1252.069583,1311.960417,1282.051667
05/03/2017,1755.21875,1851.282917,2738.81875,1777.2475,1781.5175,1710.92625,2137.24125,1710.535,1814.871667,1765.511667
05/04/2017,2684.974583,2779.947917,1270.495833,2690.25375,2705.285,2563.510417,3214.0175,2562.9925,2751.28875,2675.495833
05/05/2017,1294.327083,1277.214583,990.16125,1296.391667,1261.567083,1172.302917,1502.628333,1167.280417,1279.937917,1256.576667
05/06/2017,1366.483333,986.18,1028.986667,1341.183333,1040.016667,808.3916667,1167.33,801.44375,987.1941667,1012.828333
05/07/2017,970.5075,1073.68625,1490.238333,1035.78625,1022.062917,816.2141667,1227.72375,804.2104167,1039.311667,1001.010833
05/08/2017,1373.90125,1528.773333,1584.04125,1415.054167,1477.834583,1309.774167,1770.248333,1300.02125,1497.95125,1427.522917
05/09/2017,1452.25875,1617.444583,1786.937083,1523.675417,1557.724167,1402.162917,1889.487917,1387.415417,1591.632083,1529.124583
05/10/2017,1685.824167,1845.454167,1718.50125,1707.837917,1746.64875,1631.429167,2111.507083,1630.217917,1790.692083,1719.139167
05/11/2017,1716.357083,1740.509167,1868.2075,1700.894167,1692.857083,1633.904583,2020.365833,1634.67125,1721.0925,1695.61625
05/12/2017,1904.970417,1892.418333,1573.79625,1862.827083,1841.348333,1801.654583,2191.977083,1803.69,1872.357083,1844.603333
5/13/2017,1565.547917,1644.89625,1252.425833,1535.864583,1540.526667,1481.6475,1863.129167,1482.100417,1577.257917,1526.89125
5/14/2017,1130.6125,1314.527083,1624.12875,1191.665417,1214.927917,1136.707083,1481.016667,1136.1075,1263.502917,1194.875417
5/15/2017,1681.13875,1650.227083,2186.504167,1646.517083,1599.468333,1587.712083,1922.041667,1591.024583,1631.986667,1593.04125
5/16/2017,2288.819583,2232.150833,2094.9275,2195.32125,2147.901667,2122.14375,2582.40875,2123.203333,2188.604167,2123.225417
5/17/2017,2093.000417,2137.942917,1926.892917,2066.801667,2071.519167,1993.400417,2444.4625,1996.118333,2094.373333,2025.02
5/18/2017,1945.37375,1980.197083,1995.600833,1873.68875,1902.555,1809.855833,2281.264583,1811.649167,1926.945417,1852.500417
5/19/2017,2006.61375,2077.955417,1917.030417,1949.687917,1958.046667,1883.020417,2410.66125,1884.689167,1995.528333,1923.970833
5/20/2017,1909.324167,1981.272917,1456.485,1868.79625,1936.305833,1819.572083,2276.190417,1821.094167,1919.57375,1866.25625
5/21/2017,1327.06625,1557.475833,2010.309583,1382.765,1461.451667,1340.787083,1748.392917,1342.285,1465.484583,1395.585
5/22/2017,2124.989167,2074.970833,1609.756667,2038.624167,2010.117083,2003.882917,2372.286667,2006.396667,2009.012083,1969.5875
5/23/2017,1805.1675,1617.134167,1541.081667,1681.514583,1590.514583,1644.741667,1867.43,1643.145417,1607.84125,1595.125
5/24/2017,1818.48375,1543.785,2170.12125,1621.937083,1541.914167,1569.58625,1786.299583,1567.692917,1542.964167,1528.249583
5/25/2017,2294.189167,2185.2675,3183.655417,2218.16875,2165.44,2172.891667,2474.971667,2172.45125,2173.410833,2140.113333
5/26/2017,3636.133333,3143.537917,2139.814167,3375.615,3164.939583,3298.120833,3561.9025,3300.814583,3172.50875,3157.265833
5/27/2017,2369.80125,2166.415,1576.585417,2213.684583,2083.367083,2182.33625,2484.631667,2185.67,2128.78,2096.835833
5/28/2017,1594.77875,1629.116667,1812.572083,1604.258333,1523.79625,1575.13,1834.069583,1578.914583,1566.340833,1535.074583
5/29/2017,2019.17375,1837.7825,1903.655,1868.0425,1773.846667,1850.094583,2096.667083,1853.34375,1811.007083,1782.742083
5/30/2017,2015.147917,1919.152083,2114.19,1922.876667,1876.17375,1914.370833,2211.741667,1918.869167,1911.922083,1876.865
5/31/2017,2240.704583,2141.823333,1798.475417,2169.517917,2100.847083,2164.184583,2453.248333,2169.637917,2136.104167,2111.190417
06/01/2017,1937.81125,1828.5925,1837.3875,1863.69625,1786.341667,1846.288333,2083.265,1852.547083,1814.127917,1792.22125
06/02/2017,1981.81625,1867.51125,1787.73,1897.13,1816.980833,1880.053333,2113.544583,1885.025833,1844.598333,1830.031667
06/03/2017,1917.385833,1849.116667,1541.857083,1818.322917,1769.34625,1789.509583,2078.889583,1793.204583,1800.186667,1761.107083
06/04/2017,1616.592917,1609.172083,2189.829583,1591.135833,1508.164167,1582.475417,1796.599167,1586.319583,1549.335,1518.752083
06/05/2017,2499.6425,2195.79,2037.56625,2368.614167,2161.185417,2349.25125,2597.083333,2356.03625,2190.10375,2208.939583
06/06/2017,2332.820833,2039.519583,2363.154167,2210.780417,2013.304583,2188.435,3178.982917,2195.815,2034.826667,2054.115
06/07/2017,2750.355833,2364.461667,2260.9875,2571.59375,2333.915833,2533.613333,2727.71125,2542.7575,2363.329167,2386.810417
